GRP,SPECIES_ID,ALPHA_CODE,SPECIES_NAME,SCIENTIFIC_NAME
_24,4411,RTBE,Rose-throated Becard,Pachyramphus aglaiae
_24,4720,NBTY,Northern Beardless-Tyrannulet,Camptostoma imberbe
_24,9102,JAEL,Jamaican Elaenia,Myiopagis cotta
_24,4711,GREL,Greenish Elaenia,Myiopagis viridicata
_24,4721,CAEL,Caribbean Elaenia,Elaenia martinica
_24,9099,YBEL,Yellow-bellied Elaenia,Elaenia flavogaster
_24,9101,GAEL,Greater Antillean Elaenia,Elaenia fallax
_24,9094,SAFL,Sad Flycatcher,Myiarchus barbirostris
_24,4550,DCFL,Dusky-capped Flycatcher,Myiarchus tuberculifer
_24,4540,ATFL,Ash-throated Flycatcher,Myiarchus cinerascens
_24,4531,NUFL,Nutting's Flycatcher,Myiarchus nuttingi
_24,4520,GCFL,Great Crested Flycatcher,Myiarchus crinitus
_24,4530,BCFL,Brown-crested Flycatcher,Myiarchus tyrannulus
_24,4551,LSFL,La Sagra's Flycatcher,Myiarchus sagrae
_24,4553,STOF,Stolid Flycatcher,Myiarchus stolidus
_24,4552,PRFL,Puerto Rican Flycatcher,Myiarchus antillarum
_24,4554,LESF,Lesser Antillean Flycatcher,Myiarchus oberi
_24,4490,GKIS,Great Kiskadee,Pitangus sulphuratus
_24,4510,SBFL,Sulphur-bellied Flycatcher,Myiodynastes luteiventris
_24,4460,TRKI,Tropical Kingbird,Tyrannus melancholicus
_24,4461,COKI,Couch's Kingbird,Tyrannus couchii
_24,4480,CAKI,Cassin's Kingbird,Tyrannus vociferans
_24,4451,TBKI,Thick-billed Kingbird,Tyrannus crassirostris
_24,4470,WEKI,Western Kingbird,Tyrannus verticalis
_24,4440,EAKI,Eastern Kingbird,Tyrannus tyrannus
_24,4450,GRAK,Gray Kingbird,Tyrannus dominicensis
_24,4452,LOKI,Loggerhead Kingbird,Tyrannus caudifasciatus
_24,4430,STFL,Scissor-tailed Flycatcher,Tyrannus forficatus
_24,4420,FTFL,Fork-tailed Flycatcher,Tyrannus savana
_24,4590,OSFL,Olive-sided Flycatcher,Contopus cooperi
_24,4600,GRPE,Greater Pewee,Contopus pertinax
_24,4620,WEWP,Western Wood-Pewee,Contopus sordidulus
_24,4610,EAWP,Eastern Wood-Pewee,Contopus virens
_24,4621,CUPE,Cuban Pewee,Contopus caribaeus
_24,4623,JAPE,Jamaican Pewee,Contopus pallidus
_24,4624,HIPE,Hispaniolan Pewee,Contopus hispaniolensis
_24,4622,LAPE,Lesser Antillean Pewee,Contopus latirostris
_24,4630,YBFL,Yellow-bellied Flycatcher,Empidonax flaviventris
_24,4650,ACFL,Acadian Flycatcher,Empidonax virescens
_24,4661,ALFL,Alder Flycatcher,Empidonax alnorum
_24,4669,TRFL,Traill's Flycatcher,Empidonax alnorum/ E. traillii
_24,4660,WIFL,Willow Flycatcher,Empidonax traillii
_24,4664,SWFL,Southwestern Willow Flycatcher,Empidonax traillii extimus
_24,4670,LEFL,Least Flycatcher,Empidonax minimus
_24,4680,HAFL,Hammond's Flycatcher,Empidonax hammondii
_24,4691,GRFL,Gray Flycatcher,Empidonax wrightii
_24,4690,DUFL,Dusky Flycatcher,Empidonax oberholseri
_24,4641,PSFL,Pacific-slope Flycatcher,Empidonax difficilis
_24,4649,WEFL,Western Flycatcher,Empidonax difficilis/ E. occidentalis
_24,4640,COFL,Cordilleran Flycatcher,Empidonax occidentalis
_24,4700,BBFL,Buff-breasted Flycatcher,Empidonax fulvifrons
_24,4679,UNEM,Unidentified Empidonax,Empidonax sp.
_24,4580,BLPH,Black Phoebe,Sayornis nigricans
_24,4560,EAPH,Eastern Phoebe,Sayornis phoebe
_24,4570,SAPH,Say's Phoebe,Sayornis saya
_24,4710,VEFL,Vermilion Flycatcher,Pyrocephalus rubinus
_24,8680,MIHO,Micronesian Honeyeater,Myzomela rubratra
_24,8660,CAHO,Cardinal Honeyeater,Myzomela cardinalis
_24,8670,WAHO,Wattled Honeyeater,Foulehaio carunculatus
_25,6300,BCVI,Black-capped Vireo,Vireo atricapilla
_25,6310,WEVI,White-eyed Vireo,Vireo griseus
_25,9130,TBVI,Thick-billed Vireo,Vireo crassirostris
_25,9132,JAVI,Jamaican Vireo,Vireo modestus
_25,6331,PRVI,Puerto Rican Vireo,Vireo latimeri
_25,6330,BEVI,Bell's Vireo,Vireo bellii
_25,6334,LBVI,Least Bell's Vireo,Vireo bellii pusillus
_25,6340,GRVI,Gray Vireo,Vireo vicinior
_25,6320,HUVI,Hutton's Vireo,Vireo huttoni
_25,6280,YTVI,Yellow-throated Vireo,Vireo flavifrons
_25,6292,CAVI,Cassin's Vireo,Vireo cassinii
_25,6290,BHVI,Blue-headed Vireo,Vireo solitarius
_25,6299,SOVI,Solitary Vireo,Vireo solitarius/ V. plumbeus
_25,6291,PLVI,Plumbeous Vireo,Vireo plumbeus
