,SPECIES_ID,ALPHA_CODE,SPECIES_NAME,SCI_NAME,RECOMENDSIZE,ALLOWABLESIZE,ENDANGERED,RAPTOR,GAMEBIRD,BBL_GRP,COUNT(1)
733,7170,CANW,Canyon Wren,Catherpes mexicanus,1   1C,1   1C   0,,,,_30,665
734,7210,HOWR,House Wren,Troglodytes aedon,0   0A   1C   1,0   0A   1C   1,,,,_30,396107
735,9109,SHWR,Southern House Wren,Troglodytes aedon musculus,0,0,,,,_30,14
736,7221,PAWR,Pacific Wren,Troglodytes pacificus,0A   0,0A   0   1C,,,,_30,15430
737,7220,WIWR,Winter Wren,Troglodytes hiemalis,0A   0,0A   0,,,,_30,46682
738,7240,SEWR,Sedge Wren,Cistothorus stellaris,0A   0,0A   0,,,,_30,1543
739,7250,MAWR,Marsh Wren,Cistothorus palustris,1C   1   0,1C   1   0   0A,,,,_30,20196
740,7180,CARW,Carolina Wren,Thryothorus ludovicianus,1B   1,1B   1   1A   1C   1P,,,,_30,104590
741,7190,BEWR,Bewick's Wren,Thryomanes bewickii,1   0   1C,1   0   1C   0A,,,,_30,43106
742,7130,CACW,Cactus Wren,Campylorhynchus brunneicapillus,1B   1A,1B   1A   1D,,,,_30,7962
743,7121,BLMO,Blue Mockingbird,Melanotis caerulescens,2,2,,,,_32,2
744,7040,GRCA,Gray Catbird,Dumetella carolinensis,1A,1A   1B   1D   2,,,,_31,1106679
745,7111,PETH,Pearly-eyed Thrasher,Margarops fuscatus,3   3B   2,3   3B   2   2A,,,,_32,3768
746,9116,BRTR,Brown Trembler,Cinclocerthia ruficauda,2   1D,2   1D,,,,_32,114
747,7070,CBTH,Curve-billed Thrasher,Toxostoma curvirostre,3   2   2A,3   2   2A,,,,_32,5863
748,7050,BRTH,Brown Thrasher,Toxostoma rufum,2   3,2   3   2A,,,,_32,118486
749,7060,LBTH,Long-billed Thrasher,Toxostoma longirostre,2   3,2   3   2A,,,,_32,2350
